City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Carnarvon,AU,87.87,few clouds,-24.8667,113.6333,Hospitality Carnarvon
12,Geraldton,AU,84.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
18,Vaini,TO,81.45,overcast clouds,-21.2,-175.2,Keleti Beach Resort
19,Butaritari,KI,81.93,light rain,3.0707,172.7902,Isles Sunset Lodge
29,Flinders,AU,86.2,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
33,Kavaratti,IN,81.54,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
36,New Norfolk,AU,86.9,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
37,Manavalakurichi,IN,86.09,clear sky,8.1333,77.3,Jebinrio home
41,Souillac,MU,85.35,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
43,Mahebourg,MU,85.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
45,Saint-Philippe,RE,84.11,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,Karratha,AU,94.91,broken clouds,-20.7377,116.8463,ibis Styles Karratha
50,Hobart,AU,87.26,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
61,Phangnga,TH,92.82,few clouds,8.4509,98.5298,Sunimit Mansion
63,Samarai,PG,83.55,overcast clouds,-10.6167,150.6667,Nuli Sapi
71,Matara,LK,86.04,few clouds,5.9485,80.5353,Amaloh Boutique Resort
76,Lorengau,PG,81.57,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
87,Poum,NC,80.46,overcast clouds,-20.2333,164.0167,Gîte kajeon
94,Grand Gaube,MU,85.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
101,Bairiki,KI,84.2,light rain,1.3292,172.9752,Tarawa Boutique Hotel
103,Dingle,PH,84.74,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
111,Bambous Virieux,MU,85.21,light rain,-20.3428,57.7575,Casa Tia Villa
117,Sawtell,AU,86.32,scattered clouds,-30.3833,153.1,The Bungalow Sawtell
