City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Ambovombe,-25.1667,46.0833,76.77,63,2,9.13,MG,2022-01-31 04:50:25,clear sky
1,Basco,20.4487,121.9702,70.59,72,99,27.58,PH,2022-01-31 04:50:26,overcast clouds
2,Carnarvon,-24.8667,113.6333,87.87,58,23,24.16,AU,2022-01-31 04:48:45,few clouds
3,Arman,59.7,150.1667,7.59,78,100,16.89,RU,2022-01-31 04:50:26,overcast clouds
4,Mataura,-46.1927,168.8643,73.87,57,92,4.94,NZ,2022-01-31 04:46:42,overcast clouds
5,Rikitea,-23.1203,-134.9692,77.38,64,100,5.79,PF,2022-01-31 04:46:46,overcast clouds
6,Punta Arenas,-53.15,-70.9167,48.31,71,40,19.57,CL,2022-01-31 04:42:43,scattered clouds
7,Chuy,-33.6971,-53.4616,68.32,89,0,8.57,UY,2022-01-31 04:46:47,clear sky
8,Castro,-24.7911,-50.0119,62.53,99,100,5.82,BR,2022-01-31 04:50:27,overcast clouds
9,La Orilla,17.9833,-102.2333,72.66,75,0,4.54,MX,2022-01-31 04:50:27,clear sky
10,Magadi,12.9667,77.2333,77.16,52,0,5.1,IN,2022-01-31 04:50:28,clear sky
11,Severo-Kurilsk,50.6789,156.125,29.23,82,98,11.16,RU,2022-01-31 04:50:28,light snow
12,Geraldton,-28.7667,114.6,84.61,48,0,21.85,AU,2022-01-31 04:50:28,clear sky
13,Jardim,-21.4803,-56.1381,72.57,97,0,6.64,BR,2022-01-31 04:50:29,clear sky
14,Salinopolis,-0.6136,-47.3561,75.72,91,100,7.2,BR,2022-01-31 04:50:29,light rain
15,Katsuura,35.1333,140.3,48.31,33,90,9.13,JP,2022-01-31 04:46:49,overcast clouds
16,Albany,42.6001,-73.9662,9.91,65,23,2.86,US,2022-01-31 04:50:29,few clouds
17,Tasiilaq,65.6145,-37.6368,4.23,60,100,6.15,GL,2022-01-31 04:50:30,light snow
18,Vaini,-21.2,-175.2,81.45,70,100,15.82,TO,2022-01-31 04:45:54,overcast clouds
19,Butaritari,3.0707,172.7902,81.93,76,51,19.06,KI,2022-01-31 04:46:57,light rain
20,Leningradskiy,69.3833,178.4167,-15.25,93,89,4.88,RU,2022-01-31 04:50:30,overcast clouds
21,Vestmannaeyjar,63.4427,-20.2734,33.4,60,100,27.0,IS,2022-01-31 04:50:31,overcast clouds
22,Constitucion,-35.3333,-72.4167,58.23,70,0,9.89,CL,2022-01-31 04:45:56,clear sky
23,Cururupu,-1.8283,-44.8683,74.21,86,100,4.03,BR,2022-01-31 04:50:31,overcast clouds
24,Cape Town,-33.9258,18.4232,70.21,79,0,1.01,ZA,2022-01-31 04:50:31,clear sky
25,Mercedes,-34.6515,-59.4307,74.86,54,37,6.82,AR,2022-01-31 04:50:32,scattered clouds
26,Nemuro,43.3236,145.575,19.83,46,25,15.95,JP,2022-01-31 04:50:32,scattered clouds
27,Kahului,20.8947,-156.47,78.06,65,0,12.66,US,2022-01-31 04:50:32,clear sky
28,Havre,49.5833,0.3333,46.83,81,20,20.71,FR,2022-01-31 04:50:33,few clouds
29,Flinders,-34.5833,150.8552,86.2,71,30,8.19,AU,2022-01-31 04:50:33,light rain
30,Kodiak,57.79,-152.4072,20.71,79,0,5.75,US,2022-01-31 04:46:53,clear sky
31,Sao Filipe,14.8961,-24.4956,71.6,73,100,5.59,CV,2022-01-31 04:50:33,overcast clouds
32,San Lawrenz,36.0553,14.204,55.85,85,68,3.0,MT,2022-01-31 04:50:34,broken clouds
33,Kavaratti,10.5669,72.642,81.54,73,1,9.1,IN,2022-01-31 04:50:34,clear sky
34,Kedrovyy,56.1667,91.8167,-1.79,81,37,3.24,RU,2022-01-31 04:50:34,scattered clouds
35,Bredasdorp,-34.5322,20.0403,72.28,83,100,8.05,ZA,2022-01-31 04:50:35,overcast clouds
36,New Norfolk,-42.7826,147.0587,86.9,30,0,3.0,AU,2022-01-31 04:46:41,clear sky
37,Manavalakurichi,8.1333,77.3,86.09,60,6,4.63,IN,2022-01-31 04:50:35,clear sky
38,Tapes,-30.6733,-51.3958,70.07,81,8,10.51,BR,2022-01-31 04:50:36,clear sky
39,Upernavik,72.7868,-56.1549,-10.71,97,100,5.88,GL,2022-01-31 04:50:36,overcast clouds
40,Port Elizabeth,-33.918,25.5701,69.1,94,40,5.75,ZA,2022-01-31 04:50:36,mist
41,Souillac,-20.5167,57.5167,85.35,89,75,12.66,MU,2022-01-31 04:50:37,light rain
42,Englehart,47.8169,-79.8664,-1.64,78,100,4.61,CA,2022-01-31 04:50:07,overcast clouds
43,Mahebourg,-20.4081,57.7,85.24,89,75,12.66,MU,2022-01-31 04:50:37,broken clouds
44,Mar Del Plata,-38.0023,-57.5575,63.88,64,100,18.01,AR,2022-01-31 04:49:11,overcast clouds
45,Saint-Philippe,-21.3585,55.7679,84.11,83,83,12.86,RE,2022-01-31 04:50:38,light rain
46,Arandis,-22.4167,14.9667,60.46,78,94,5.99,NA,2022-01-31 04:50:38,overcast clouds
47,Atuona,-9.8,-139.0333,78.26,75,10,15.59,PF,2022-01-31 04:50:38,clear sky
48,Karratha,-20.7377,116.8463,94.91,47,72,21.97,AU,2022-01-31 04:51:39,broken clouds
49,Sur,22.5667,59.5289,74.71,54,0,1.5,OM,2022-01-31 04:51:39,clear sky
50,Hobart,-42.8794,147.3294,87.26,55,20,1.99,AU,2022-01-31 04:47:52,few clouds
51,Avarua,-21.2078,-159.775,77.05,83,20,6.91,CK,2022-01-31 04:50:14,drizzle
52,Aitape,-3.1374,142.3475,79.43,82,100,13.91,PG,2022-01-31 04:51:40,moderate rain
53,Maba,24.6841,113.5984,45.72,70,100,4.7,CN,2022-01-31 04:51:40,light rain
54,Taksimo,56.3444,114.8794,-6.07,90,92,1.14,RU,2022-01-31 04:51:41,overcast clouds
55,Dikson,73.5069,80.5464,-4.04,94,100,22.44,RU,2022-01-31 04:51:41,overcast clouds
56,Fortuna,40.5982,-124.1573,50.67,92,100,0.0,US,2022-01-31 04:51:41,overcast clouds
57,Port Alfred,-33.5906,26.891,74.32,84,100,11.79,ZA,2022-01-31 04:46:53,overcast clouds
58,Nikolskoye,59.7035,30.7861,26.49,96,100,5.06,RU,2022-01-31 04:51:42,light snow
59,Thompson,55.7435,-97.8558,-3.84,77,20,2.3,CA,2022-01-31 04:47:40,few clouds
60,Nacala,-14.5428,40.6728,77.77,81,8,4.7,MZ,2022-01-31 04:51:42,clear sky
61,Phangnga,8.4509,98.5298,92.82,49,14,5.19,TH,2022-01-31 04:51:43,few clouds
62,Novyy Urengoy,66.0833,76.6333,-4.56,99,99,7.65,RU,2022-01-31 04:51:43,overcast clouds
63,Samarai,-10.6167,150.6667,83.55,72,100,20.98,PG,2022-01-31 04:51:44,overcast clouds
64,Imbituba,-28.24,-48.6703,73.81,81,52,6.6,BR,2022-01-31 04:51:44,broken clouds
65,Torbay,47.6666,-52.7314,35.58,83,100,24.16,CA,2022-01-31 04:51:44,overcast clouds
